Sentence_ID,Token,Type of Named Entity
14,Yg,""""""
14,Kamu,""""""
14,Alami,""""""
14,.,""""""
14,Agar,""""""
14,Bisa,""""""
14,Aku,""""""
14,Bantu,""""""
14,Pengecekan,""""""
14,Kendala,""""""
14,Kamu,""""""
14,",",""""""
14,Mohon,""""""
14,Menghubungi,""""""
14,Aku,""""""
14,Melalui,""""""
14,Dm,""""""
14,Sosial,""""""
14,Media,""""""
14,Twitter,""""""
14,Kami,""""""
14,Dengan,""""""
14,Mengirimkan,""""""
14,Detail,""""""
14,Kendala,""""""
14,Ya,""""""
14,Kak,""""""
14,.,""""""
14,Aku,""""""
14,Tunggu,""""""
14,^,""""""
14,Ky,""""""
15,Hi,""""""
15,Kak,""""""
15,Macchiatolalala,""""""
15,Mohon,""""""
15,Maaf,""""""
15,Terkait,""""""
15,Dengan,""""""
15,Kendala,""""""
15,Yang,""""""
15,Kakak,""""""
15,Alami,""""""
15,Untuk,""""""
15,Dapat,""""""
15,Aku,""""""
15,Bantu,""""""
15,Cek,""""""
15,Boleh,""""""
15,Hubungi,""""""
15,Aku,""""""
15,Di,""""""
15,Dm,""""""
15,X,""""""
15,Ya,""""""
15,Kak,""""""
15,.,""""""
15,Terima,""""""
15,Kasih,""""""
15,^,""""""
15,Jk,""""""
16,Cek,""""""
16,Dm,""""""
17,Min,""""""
17,Cek,""""""
17,Dm,""""""
18,Min,""""""
18,Bales,""""""
18,Akuu,""""""
18,🥺,""""""
19,Ini,""""""
19,Spx,""""""
19,Kalo,""""""
19,Minggu,""""""
19,Emang,""""""
19,Tutup,""""""
19,Yah,""""""
19,Mint,""""""
19,💔,""""""
20,Tolong,""""""
20,😭,""""""
20,Aku,""""""
20,Salah,""""""
20,Top,""""""
20,Up,""""""
20,Shopee,""""""
20,Ke,""""""
20,Nokor,""""""
20,Orang,""""""
20,Lain,""""""
20,",",""""""
20,Nomornya,""""""
20,Ditelfon,""""""
20,Gak,""""""
20,Aktif,""""""
21,Min,""""""
21,Kalau,""""""
21,Keterangannya,""""""
21,Gini,""""""
21,Berarti,""""""
21,Bisa,""""""
21,Kartu,""""""
21,Debit,""""""
21,&,""""""
21,Amp,""""""
21,;,""""""
21,Kredit,""""""
21,Atau,""""""
21,Hanya,""""""
21,Bisa,""""""
21,Pakai,""""""
21,Kartu,""""""
21,Kredit,""""""
21,Aja,""""""
21,Ya,""""""
21,?,""""""
22,Di,""""""
22,Tokped,""""""
22,Yang,""""""
22,Jual,""""""
22,Palsu,""""""
22,Bahkan,""""""
22,Pake,""""""
22,Label,""""""
22,Mall,""""""
22,.,""""""
22,Makanya,""""""
22,Kayaknya,""""""
22,Kemarin,""""""
22,Sempet,""""""
22,Rame,""""""
22,Ada,""""""
22,Toko,""""""
22,Label,""""""
22,Mall,""""""
22,(,""""""
22,Antara,""""""
22,Onitsuka,""""""
22,Atau,""""""
22,Asics,""""""
22,),""""""
22,Dinon,""""""
22,-,""""""
22,Aktifkan,""""""
22,Karena,""""""
22,Rupanya,""""""
22,Bukan,""""""
22,Official,""""""
23,Hati,""""""
23,Hati,""""""
23,Belanja,""""""
23,Di,""""""
23,Sophee,""""""
23,",",""""""
23,Beli,""""""
23,Kloset,""""""
23,Duduk,""""""
23,Pakai,""""""
23,Packing,""""""
23,Kayu,""""""
23,Hancur,""""""
23,",",""""""
23,Komplain,""""""
23,Di,""""""
23,Aplikasi,""""""
23,Dipersulit,""""""
23,Disuruh,""""""
23,Antar,""""""
23,Barang,""""""
23,Hancur,""""""
23,Sendiri,""""""
23,Ke,""""""
23,Kantor,""""""
23,Expedisi,""""""
23,Nya,""""""
23,Jne,""""""
23,Trucking,""""""
23,Entah,""""""
23,Di,""""""
23,Mana,""""""
23,.,""""""
23,Uang,""""""
23,Saya,""""""
23,Malah,""""""
23,Hilang,""""""
23,Tidak,""""""
23,Jelas,""""""
23,",",""""""
23,Waktu,""""""
23,Habis,""""""
23,Percuma,""""""
23,Tiap,""""""
23,Hari,""""""
23,Chat,""""""
23,Sama,""""""
23,Cs,""""""
23,Sophee,""""""
24,Haii,""""""
24,Kak,""""""
24,Taebong_,""""""
24,",",""""""
24,Maaf,""""""
24,Ya,""""""
24,Udh,""""""
24,Bikin,""""""
24,Km,""""""
24,Kecewa,""""""
24,Terkait,""""""
24,Kendalamu,""""""
24,.,""""""
24,Biar,""""""
24,Bisa,""""""
24,Aku,""""""
24,Bantu,""""""
24,Cek,""""""
24,Kendalanya,""""""
24,Infoin,""""""
24,Ke,""""""
24,Aku,""""""
24,Username,""""""
24,",",""""""
24,Ss,""""""
24,Kendala,""""""
24,Dan,""""""
24,Detail,""""""
24,Kendala,""""""
24,Kakak,""""""
24,Boleh,""""""
24,Colek,""""""
24,Aku,""""""
24,Di,""""""
24,Dm,""""""
24,Ya,""""""
24,Kak,""""""
24,.,""""""
24,Ditunggu,""""""
24,^,""""""
24,Rs,""""""
25,Eh,""""""
25,Akun,""""""
25,Bodong,""""""
25,Dilarang,""""""
25,Komen,""""""
25,Ya,""""""
25,Ajg,""""""
25,Gua,""""""
25,Gak,""""""
25,Nanya,""""""
25,Lu,""""""
26,Yehhh,""""""
26,Pret,""""""
26,Penipuan,""""""
27,Udah,""""""
27,Nunggu,""""""
27,Lebih,""""""
27,Dari,""""""
27,1x24,""""""
27,Jam,""""""
27,Sesuai,""""""
27,Arahan,""""""
27,Cs,""""""
27,+,""""""
27,Isi,""""""
27,Form,""""""
27,Tapi,""""""
27,Uang,""""""
27,Aku,""""""
27,Masih,""""""
27,Ketahan,""""""
27,Nyangkut,""""""
27,Disini,""""""
27,",",""""""
27,Bagaimana,""""""
27,Solusinya,""""""
27,?,""""""
27,Tolong,""""""
27,Tindak,""""""
27,Lanjutnya,""""""
27,Segeraaa,""""""
27,😔,""""""
28,Gendeng,""""""
28,Iki,""""""
28,Shopee,""""""
28,Wong,""""""
28,Aku,""""""
28,Cuma,""""""
28,Jualan,""""""
28,Sabun,""""""
28,Batang,""""""
28,Kok,""""""
28,Pemalsuan,""""""
28,Pesanan,""""""
28,Ki,""""""
28,Opoo,""""""
28,Stressss,""""""
29,Udah,""""""
29,Sampe,""""""
29,Belum,""""""
29,Ka,""""""
30,Di,""""""
30,Dm,""""""
30,Ya,""""""
30,Min,""""""
30,?,""""""
31,Hai,""""""
31,Kak,""""""
31,Shobas_tian,""""""
31,",",""""""
31,Maaf,""""""
31,Ya,""""""
31,Buat,""""""
31,Nunggu,""""""
31,",",""""""
31,Aku,""""""
31,Akan,""""""
31,Meluncur,""""""
31,Ke,""""""
31,Dm,""""""
31,Kamu,""""""
31,Yaa,""""""
31,Kak,""""""
31,",",""""""
31,Mohon,""""""
31,Kesediannya,""""""
31,Untuk,""""""
31,Menunggu,""""""
31,.,""""""
31,Terima,""""""
31,Kasih,""""""
31,^,""""""
31,Ky,""""""
32,Ajukan,""""""
32,Pengembalian,""""""
32,Sesuai,""""""
32,Kondisi,""""""
32,Awal,""""""
32,",",""""""
32,No,""""""
32,Video,""""""
32,No,""""""
32,Pictures,""""""
32,.,""""""
33,Biannolshop_,""""""
33,",",""""""
33,Itu,""""""
33,Sudah,""""""
33,4,""""""
33,Bulan,""""""
33,Tidak,""""""
33,Bisa,""""""
33,Dipakai,""""""
33,Setiap,""""""
33,Bulan,""""""
33,Begitu,""""""
34,Tapi,""""""
34,Shopee,""""""
34,Tu,""""""
34,Mihak,""""""
34,Pembeli,""""""
34,Bgt,""""""
34,Bg,""""""
34,😂,""""""
34,.,""""""
34,Salah,""""""
34,Satu,""""""
34,Alasan,""""""
34,Gw,""""""
34,Pindah,""""""
34,Ke,""""""
34,Shopee,""""""
34,Ya,""""""
34,Gitu,""""""
35,Woi,""""""
35,Ini,""""""
35,Knp,""""""
35,Seller,""""""
35,Centernya,""""""
35,Gak,""""""
35,Bisa,""""""
35,Diload,""""""
35,Min,""""""
36,Balas,""""""
36,Dm,""""""
37,Hi,""""""
37,Kak,""""""
37,Bp_bryan,""""""
37,",",""""""
37,Maaf,""""""
37,Ya,""""""
37,Sudah,""""""
37,Buat,""""""
37,Kmu,""""""
37,Khawatir,""""""
37,Terkait,""""""
37,Kendala,""""""
37,Yang,""""""
37,Kakka,""""""
37,Alami,""""""
37,.,""""""
37,Agar,""""""
37,Bisa,""""""
37,Aku,""""""
37,Bantu,""""""
37,",",""""""
37,Infoin,""""""
37,Ke,""""""
37,Aku,""""""
37,Detail,""""""
37,Kendala,""""""
37,Kamu,""""""
37,Dan,""""""
37,Sreenshot,""""""
37,Kendala,""""""
37,Kamu,""""""
37,Ke,""""""
37,Aku,""""""
37,Melalui,""""""
37,Resmi,""""""
37,X,""""""
37,/,""""""
37,Yaa,""""""
37,.,""""""
37,Stay,""""""
37,Safe,""""""
37,^,""""""
37,Nv,""""""
38,Saya,""""""
38,Sudah,""""""
38,Dm,""""""
39,Semoga,""""""
39,Kasus,""""""
39,Ini,""""""
39,Ditindaklanjuti,""""""
39,Dengan,""""""
39,Adil,""""""
39,.,""""""
39,Barang,""""""
39,Hilang,""""""
39,Seharusnya,""""""
39,Menjadi,""""""
39,Tanggung,""""""
39,Jawab,""""""
39,Pihak,""""""
39,Ekspedisi,""""""
39,/,""""""
39,Spx,""""""
39,Dan,""""""
39,Penggantian,""""""
39,Tidak,""""""
39,Hanya,""""""
39,Berdasarkan,""""""
39,Ongkir,""""""
39,",",""""""
39,Tetapi,""""""
39,Juga,""""""
39,Mempertimbangkan,""""""
39,Nilai,""""""
39,Barang,""""""
39,Yang,""""""
39,Hilang,""""""
39,.,""""""
40,Halo,""""""
40,",",""""""
40,.,""""""
40,Saya,""""""
40,Mau,""""""
40,Cetak,""""""
40,Resi,""""""
40,",",""""""
40,Tapi,""""""
40,Kayak,""""""
40,Begini,""""""
40,Terus,""""""
40,.,""""""
40,.,""""""
40,Ini,""""""
40,Kenapa,""""""
40,",",""""""
40,Ya,""""""
40,?,""""""
40,Udah,""""""
40,10,""""""
40,Menit,""""""
40,Lebih,""""""
40,",",""""""
40,Nggak,""""""
40,Keluar,""""""
40,Juga,""""""
40,Nomer,""""""
40,Resinya,""""""
40,.,""""""
40,Mohon,""""""
40,Bantuannya,""""""
40,Ya,""""""
40,.,""""""
41,Hi,""""""
41,Kak,""""""
41,Shobas_tian,""""""
41,Maaf,""""""
41,Bikin,""""""
41,Resah,""""""
41,Mengenai,""""""
41,Pesanan,""""""
41,Kakak,""""""
41,Belum,""""""
41,Diterima,""""""
41,.,""""""
41,Agar,""""""
41,Aku,""""""
41,Bisa,""""""
41,Bantu,""""""
41,Lebih,""""""
41,Lanjut,""""""
41,Boleh,""""""
41,Infoin,""""""
41,Detail,""""""
41,Kendala,""""""
41,",",""""""
41,No,""""""
41,Pesanan,""""""
41,Dan,""""""
41,Username,""""""
41,Ke,""""""
41,Dm,""""""
41,.,""""""
41,Terima,""""""
41,Kasih,""""""
41,^,""""""
41,Nk,""""""
42,Ya,""""""
42,Elunya,""""""
42,Aja,""""""
42,Yg,""""""
42,Tolol,""""""
42,Belinya,""""""
42,Ditoko,""""""
42,Yg,""""""
42,Ada,""""""
42,Embel2,""""""
42,Mallnya,""""""
42,Idiot,""""""
42,Wkwkwk,""""""
43,Hi,""""""
43,Kak,""""""
43,Nauvanzam,""""""
43,",",""""""
43,Maaf,""""""
43,Ya,""""""
43,Sudah,""""""
43,Buat,""""""
43,Kmu,""""""
43,Gak,""""""
43,Nyaman,""""""
43,Terkait,""""""
43,Kendala,""""""
43,Pesanan,""""""
43,Kamu,""""""
43,.,""""""
43,Agar,""""""
43,Bisa,""""""
43,Aku,""""""
43,Bantu,""""""
43,",",""""""
43,Infoin,""""""
43,Ke,""""""
43,Aku,""""""
43,Username,""""""
43,Shopee,""""""
43,Dan,""""""
43,Nomor,""""""
43,Pesanan,""""""
43,Kamu,""""""
43,Ke,""""""
43,Aku,""""""
43,Melalui,""""""
43,Resmi,""""""
43,X,""""""
43,/,""""""
43,Yaa,""""""
43,.,""""""
43,Stay,""""""
43,Safe,""""""
43,^,""""""
43,Nv,""""""
44,Goblok,""""""
44,Sih,""""""
44,Beli,""""""
44,Kahf,""""""
44,Smpe,""""""
44,Dpt,""""""
44,Palsu,""""""
44,Di,""""""
44,Shopemall,""""""
44,Sdh,""""""
44,Jls,""""""
44,.,""""""
44,Shope,""""""
44,Beli,""""""
44,Dr,""""""
44,Harga,""""""
44,Puluhan,""""""
44,Ribu,""""""
44,Sampai,""""""
44,Jutaan,""""""
44,Dr,""""""
44,Bermasalah,""""""
44,Smpe,""""""
44,Sekedar,""""""
44,Retur,""""""
44,Semua,""""""
44,Beres,""""""
44,Uang,""""""
44,Kembali,""""""
44,100,""""""
44,%,""""""
45,Iya,""""""
45,Malah,""""""
45,Lebih,""""""
45,Parah,""""""
45,Shopee,""""""
45,Njir,""""""
45,.,""""""
45,Goblok,""""""
45,Emang,""""""
45,Dia,""""""
45,.,""""""
45,Bayangin,""""""
45,Ya,""""""
45,Skincare,""""""
45,30,""""""
45,Ribuan,""""""
45,Di,""""""
45,Shopee,""""""
45,Aja,""""""
45,Di,""""""
45,Kawe,""""""
45,In,""""""
45,Anjir,""""""
45,.,""""""
45,Sumpah,""""""
45,Gw,""""""
45,Beli,""""""
45,Kahf,""""""
45,Facial,""""""
45,Wash,""""""
45,Dapatnya,""""""
45,Kw,""""""
45,.,""""""
46,Hi,""""""
46,Kak,""""""
46,Jauhjauhkamuu,""""""
46,",",""""""
46,Maaf,""""""
46,Ya,""""""
46,Sudah,""""""
46,Buat,""""""
46,Kmu,""""""
46,Khawatir,""""""
46,Terkait,""""""
46,Kendala,""""""
46,Yang,""""""
46,Kakka,""""""
46,Alami,""""""
46,.,""""""
46,Agar,""""""
46,Bisa,""""""
46,Aku,""""""
46,Bantu,""""""
46,",",""""""
46,Infoin,""""""
46,Ke,""""""
46,Aku,""""""
46,Detail,""""""
46,Kendala,""""""
46,Kamu,""""""
46,Dan,""""""
46,Sreenshot,""""""
46,Kendala,""""""
46,Kamu,""""""
46,Ke,""""""
46,Aku,""""""
46,Melalui,""""""
46,Resmi,""""""
46,X,""""""
46,/,""""""
46,Yaa,""""""
46,.,""""""
46,Stay,""""""
46,Safe,""""""
46,^,""""""
46,Nv,""""""
47,Kok,""""""
47,Kaya,""""""
47,Scam,""""""
47,Sih,""""""
47,Kak,""""""
47,.,""""""
47,.,""""""
47,.,""""""
47,Apalagi,""""""
47,Pake,""""""
47,Klik,""""""
47,Link,""""""
47,",",""""""
47,Hati2,""""""
47,Yaaaaah,""""""
48,Ini,""""""
48,Maksudnya,""""""
48,Apa,""""""
48,Yaa,""""""
48,Kenapa,""""""
48,Akun,""""""
48,Ku,""""""
48,Tiba2,""""""
48,Dibatasi,""""""
49,Hallo,""""""
49,Apakah,""""""
49,Akun,""""""
49,Saya,""""""
49,Akan,""""""
49,Baik,""""""
49,Baik,""""""
49,Saja,""""""
49,?,""""""
50,Cek,""""""
50,Dm,""""""
50,!,""""""
51,Hallo,""""""
51,Apakah,""""""
51,Ini,""""""
51,Official,""""""
51,Dari,""""""
51,Shopee,""""""
51,Nya,""""""
51,Langsung,""""""
51,Atau,""""""
51,Bukan,""""""
51,?,""""""
51,Soalnya,""""""
51,Saya,""""""
51,Menanyakan,""""""
51,Hal,""""""
51,Tsb,""""""
51,Kepada,""""""
51,Cs,""""""
51,Namun,""""""
51,Katanya,""""""
51,Bukan,""""""
51,.,""""""
51,Lalu,""""""
51,Pesannya,""""""
51,Saya,""""""
51,Abaikan,""""""
51,&,""""""
51,Amp,""""""
51,;,""""""
51,Saya,""""""
51,Hps,""""""
51,",",""""""
51,Ttpi,""""""
51,Saya,""""""
51,Mendapatkan,""""""
51,Pesan,""""""
51,Yg,""""""
51,Lain,""""""
51,Yg,""""""
51,Tidak,""""""
51,Saya,""""""
51,Ss,""""""
51,Dan,""""""
51,Lgsg,""""""
51,Saya,""""""
51,Hps,""""""
51,.,""""""
51,Mhon,""""""
51,Ditindaklanjuti,""""""
51,🙏,""""""
51,🏻,""""""
52,Kindly,""""""
52,Cek,""""""
52,Dm,""""""
52,Min,""""""
52,Thank,""""""
52,You,""""""
53,Hai,""""""
53,Kak,""""""
53,Jhund_jq,""""""
53,",",""""""
53,Maaf,""""""
53,Ya,""""""
53,Udah,""""""
53,Buat,""""""
53,Risau,""""""
53,Terkait,""""""
53,Kendala,""""""
53,Yang,""""""
53,Kakak,""""""
53,Alami,""""""
53,.,""""""
53,Agar,""""""
53,Dapat,""""""
53,Kami,""""""
53,Prioritaskan,""""""
53,Pengecekan,""""""
53,",",""""""
53,Infoin,""""""
53,Kendala,""""""
53,Kamu,""""""
53,Melalui,""""""
53,Dm,""""""
53,Ke,""""""
53,Media,""""""
53,Sosial,""""""
53,/,""""""
53,Ya,""""""
53,Kak,""""""
53,",",""""""
53,Stay,""""""
53,Safe,""""""
53,^,""""""
53,Me,""""""
54,Check,""""""
54,Dm,""""""
55,Jelaskan,""""""
55,Kronologi,""""""
55,Keluhannya,""""""
55,",",""""""
55,Kenapa,""""""
55,Dana,""""""
55,Penjualan,""""""
55,Seller,""""""
55,Bisa,""""""
55,Ditahan,""""""
55,Melewati,""""""
55,Batas,""""""
55,Waktu,""""""
55,Yang,""""""
55,Sudah,""""""
55,Ditetapkan,""""""
55,Oleh,""""""
55,Platform,""""""
55,Sendiri,""""""
55,",",""""""
55,Dan,""""""
55,Bagaimana,""""""
55,Mekanisme,""""""
55,Pelepasan,""""""
55,Dana,""""""
55,Di,""""""
55,Program,""""""
55,Export,""""""
55,Shopee,""""""
55,?,""""""
55,Teruskan,""""""
55,Surat,""""""
55,Ini,""""""
55,Ke,""""""
56,Haii,""""""
56,Kak,""""""
56,_bunnygurls,""""""
56,",",""""""
56,Maaf,""""""
56,Ya,""""""
56,Udh,""""""
56,Bikin,""""""
56,Km,""""""
56,Kecewa,""""""
56,Terkait,""""""
56,Kendalamu,""""""
56,.,""""""
56,Biar,""""""
56,Aku,""""""
56,Bisa,""""""
56,Bantu,""""""
56,Cek,""""""
56,Kendalanya,""""""
56,Infoin,""""""
56,Ke,""""""
56,Aku,""""""
56,Detail,""""""
56,Kendala,""""""
56,Kakak,""""""
56,Boleh,""""""
56,Colek,""""""
56,Aku,""""""
56,Di,""""""
56,Dm,""""""
56,/,""""""
56,Ya,""""""
56,Kak,""""""
56,.,""""""
56,Dtunggu,""""""
56,^,""""""
56,Li,""""""
57,Cek,""""""
57,Dm,""""""
58,Min,""""""
58,Baca,""""""
58,Dm,""""""
58,Ku,""""""
58,Dong,""""""
59,Kok,""""""
59,Layanannya,""""""
59,Ga,""""""
59,Aktif,""""""
59,?,""""""
60,Hai,""""""
60,Kak,""""""
60,2jaejnxx,""""""
60,",",""""""
60,Maaf,""""""
60,Ya,""""""
60,Udah,""""""
60,Bikin,""""""
60,Kamu,""""""
60,Risau,""""""
60,Terkait,""""""
60,Kendala,""""""
60,Pesanan,""""""
60,Kamu,""""""
60,.,""""""
60,Agar,""""""
60,Aku,""""""
60,Bisa,""""""
60,Bantu,""""""
60,Cek,""""""
60,",",""""""
60,Boleh,""""""
60,Infoin,""""""
60,Username,""""""
60,Dan,""""""
60,Nomor,""""""
60,Pesanan,""""""
60,Terkendala,""""""
60,Kakak,""""""
60,Ke,""""""
60,Dm,""""""
60,X,""""""
60,Atau,""""""
60,Yaa,""""""
60,.,""""""
60,Aku,""""""
60,Tunggu,""""""
60,^,""""""
60,Zp,""""""
61,Hai,""""""
61,Kak,""""""
61,Leejen_o_480,""""""
61,.,""""""
61,Aku,""""""
61,Segera,""""""
61,Meluncur,""""""
61,Ke,""""""
61,Dm,""""""
61,Ya,""""""
61,",",""""""
61,Mohon,""""""
61,Kesediaanya,""""""
61,Untuk,""""""
61,Menunggu,""""""
61,Dan,""""""
61,Cek,""""""
61,Dm,""""""
61,Kamu,""""""
61,Secara,""""""
61,Berkala,""""""
61,.,""""""
61,Stay,""""""
61,Safe,""""""
61,^,""""""
61,Ua,""""""
62,Hai,""""""
62,Kak,""""""
62,Ncklss_,""""""
62,",",""""""
62,Maaf,""""""
62,Ya,""""""
62,Udah,""""""
62,Buat,""""""
62,Kamu,""""""
62,Ga,""""""
62,Nyaman,""""""
62,Karena,""""""
62,Kendala,""""""
62,Yg,""""""
62,Kamu,""""""
62,Alami,""""""
62,.,""""""
62,Biar,""""""
62,Bisa,""""""
62,Aku,""""""
62,Bantu,""""""
62,Pengecekan,""""""
62,",",""""""
62,Kamu,""""""
62,Bisa,""""""
62,Infoin,""""""
62,Username,""""""
62,Dan,""""""
62,No,""""""
62,Pesanan,""""""
62,Km,""""""
62,Ke,""""""
62,Dm,""""""
62,Social,""""""
62,Media,""""""
62,Kita,""""""
62,/,""""""
62,Ya,""""""
62,Kak,""""""
62,.,""""""
62,Semoga,""""""
62,Kendala,""""""
62,Km,""""""
62,Dapat,""""""
62,Segera,""""""
62,Terselesaikan,""""""
62,Yaa,""""""
62,Kak,""""""
62,.,""""""
62,Sehat,""""""
62,Selalu,""""""
62,^,""""""
62,Cn,""""""
63,Yaallah,""""""
63,Aku,""""""
63,Nyesek,""""""
63,Bacanya,""""""
63,😭,""""""
63,Heh,""""""
63,Shopee,""""""
63,Anjing,""""""
63,Lu,""""""
63,Ya,""""""
64,Nih,""""""
65,Gw,""""""
65,Jg,""""""
65,Gedeg,""""""
65,Anjr,""""""
66,Hai,""""""
66,Kak,""""""
66,17krnwt,""""""
66,",",""""""
66,Maaf,""""""
66,Ya,""""""
66,Udah,""""""
66,Buat,""""""
66,Kamu,""""""
66,Ngga,""""""
66,Nyaman,""""""
66,Karena,""""""
66,Kendala,""""""
66,Yg,""""""
66,Kamu,""""""
66,Alami,""""""
66,.,""""""
66,Biar,""""""
66,Bisa,""""""
66,Aku,""""""
66,Bantu,""""""
66,Pengecekan,""""""
66,",",""""""
66,Kamu,""""""
66,Bisa,""""""
66,Infoin,""""""
66,Username,""""""
66,Dan,""""""
66,No,""""""
66,Pesanan,""""""
66,Kamu,""""""
66,Ke,""""""
66,Dm,""""""
66,Social,""""""
66,Media,""""""
66,Kita,""""""
66,/,""""""
66,Ya,""""""
66,Kak,""""""
66,.,""""""
66,Semoga,""""""
66,Kendala,""""""
66,Km,""""""
66,Dapat,""""""
66,Segera,""""""
66,Terselesaikan,""""""
66,Yaa,""""""
66,Kak,""""""
66,.,""""""
66,Sehat,""""""
68,Ck,""""""
68,Dm,""""""
68,Paket,""""""
68,Gua,""""""
68,Stuck,""""""
68,Uda,""""""
68,Menuju,""""""
68,3,""""""
68,Hari,""""""
68,Update,""""""
68,An,""""""
68,Ga,""""""
68,Ada,""""""
68,Kesel,""""""
68,Bgtbdah,""""""
68,Gua,""""""
69,Uda,""""""
69,Aku,""""""
69,Bales,""""""
69,Tu,""""""
69,",",""""""
69,Cek,""""""
69,Lg,""""""
70,Yang,""""""
70,Bermasalah,""""""
70,Mitra,""""""
70,Mu,""""""
70,Kenapa,""""""
70,Yang,""""""
70,Rugi,""""""
70,Pengguna,""""""
70,Shopee,""""""
70,Nya,""""""
70,?,""""""
70,Kirim,""""""
70,Dari,""""""
70,Tanggal,""""""
70,4,""""""
