Sentence_ID,Token string,Token kind,Contextual features,Morphological features,Part-of-speech features,Type of Named Entity
5,dm,WORD,,LowerCase,NOUN,""""""
5,ku,WORD,,LowerCase,PRON,""""""
5,blm,WORD,,LowerCase,OOV,""""""
5,dibales,WORD,,LowerCase,OOV,""""""
5,dri,WORD,,LowerCase,OOV,""""""
5,kmrn,WORD,,LowerCase,OOV,""""""
5,.,EPUNC,,,,""""""
6,cdm,WORD,,LowerCase,OOV,""""""
7,Hi,WORD,,"TitleCase, CapStart",OOV,""""""
7,kak,WORD,,LowerCase,NOUN,""""""
7,Rogami,WORD,,"TitleCase, CapStart",OOV,""""""
7,",",OPUNC,,,,""""""
7,maaf,WORD,,LowerCase,OOV,""""""
7,banget,WORD,,LowerCase,OOV,""""""
7,ya,WORD,,LowerCase,OOV,""""""
7,udah,WORD,,LowerCase,ADV,""""""
7,buat,WORD,,LowerCase,PREP,""""""
7,kakak,WORD,,LowerCase,OOV,""""""
7,ga,WORD,,LowerCase,ADV,""""""
7,nyaman,WORD,,LowerCase,OOV,""""""
7,.,EPUNC,,,,""""""
7,terkait,WORD,,LowerCase,OOV,""""""
7,kendala,WORD,,LowerCase,OOV,""""""
7,pesanan,WORD,,LowerCase,OOV,""""""
7,yang,WORD,,LowerCase,OOV,""""""
7,kakak,WORD,,LowerCase,OOV,""""""
7,alami,WORD,,LowerCase,OOV,""""""
7,",",OPUNC,,,,""""""
7,aku,WORD,,LowerCase,OOV,""""""
7,infoin,WORD,,LowerCase,OOV,""""""
7,kakak,WORD,,LowerCase,OOV,""""""
7,bisa,WORD,,LowerCase,OOV,""""""
7,chat,WORD,,LowerCase,VERB,""""""
7,aku,WORD,,LowerCase,OOV,""""""
7,dgn,WORD,,LowerCase,OOV,""""""
7,memberikan,WORD,,LowerCase,OOV,""""""
7,username,WORD,,LowerCase,OOV,""""""
7,serta,WORD,,LowerCase,OOV,""""""
7,memberikan,WORD,,LowerCase,OOV,""""""
7,nomor,WORD,,LowerCase,OOV,""""""
7,pesanan,WORD,,LowerCase,OOV,""""""
7,kakak,WORD,,LowerCase,OOV,""""""
7,melalui,WORD,,LowerCase,OOV,""""""
7,DM,WORD,,"UpperCase, CapStart",NOUN,""""""
7,ke,WORD,,LowerCase,OOV,""""""
7,Social,WORD,,"TitleCase, CapStart",OOV,""""""
7,Media,WORD,,"TitleCase, CapStart",OOV,""""""
7,/,SPUNC,,,,""""""
7,ya,WORD,,LowerCase,OOV,""""""
7,.,EPUNC,,,,""""""
7,Stay,WORD,,"TitleCase, CapStart",OOV,""""""
7,Healthy,WORD,,"TitleCase, CapStart",OOV,""""""
7,^,PUNC,,,,""""""
7,RL,WORD,,"UpperCase, CapStart",OOV,""""""
8,cek,WORD,,LowerCase,OOV,""""""
8,dm,WORD,,LowerCase,NOUN,""""""
9,Pernah,WORD,,"TitleCase, CapStart",OOV,""""""
9,ada,WORD,,LowerCase,VERB,""""""
9,yang,WORD,,LowerCase,OOV,""""""
9,ngalamin,WORD,,LowerCase,OOV,""""""
9,buka,WORD,,LowerCase,OOV,""""""
9,shopee,WORD,,LowerCase,NOUN,""""""
9,food,WORD,,LowerCase,OOV,""""""
9,di,WORD,,LowerCase,PREP,""""""
9,rumah,WORD,,LowerCase,OOV,""""""
9,tiba,WORD,,LowerCase,OOV,""""""
9,tiba,WORD,,LowerCase,OOV,""""""
9,malah,WORD,,LowerCase,OOV,""""""
9,shopee,WORD,,LowerCase,NOUN,""""""
9,nya,WORD,,LowerCase,PRON,""""""
9,lompat,WORD,,LowerCase,OOV,""""""
9,jauh,WORD,,LowerCase,OOV,""""""
9,banget,WORD,,LowerCase,OOV,""""""
9,maps,WORD,,LowerCase,OOV,""""""
9,nya,WORD,,LowerCase,PRON,""""""
9,?,EPUNC,,,,""""""
9,Padahal,WORD,,"TitleCase, CapStart",OOV,""""""
9,gak,WORD,,LowerCase,OOV,""""""
9,pernah,WORD,,LowerCase,OOV,""""""
9,pesen,WORD,,LowerCase,OOV,""""""
9,shopee,WORD,,LowerCase,NOUN,""""""
9,food,WORD,,LowerCase,OOV,""""""
9,di,WORD,,LowerCase,PREP,""""""
9,daerah,WORD,,LowerCase,OOV,""""""
9,itu,WORD,,LowerCase,OOV,""""""
9,juga,WORD,,LowerCase,ADV,""""""
9,Gimana,WORD,,"TitleCase, CapStart",OOV,""""""
9,ni,WORD,,LowerCase,OOV,""""""
9,kalo,WORD,,LowerCase,OOV,""""""
9,belom,WORD,,LowerCase,OOV,""""""
9,mampu,WORD,,LowerCase,OOV,""""""
9,jadi,WORD,,LowerCase,OOV,""""""
9,super,WORD,,LowerCase,OOV,""""""
9,app,WORD,,LowerCase,OOV,""""""
9,jangan,WORD,,LowerCase,OOV,""""""
9,nyoba,WORD,,LowerCase,OOV,""""""
9,nyoba,WORD,,LowerCase,OOV,""""""
9,jadi,WORD,,LowerCase,OOV,""""""
9,super,WORD,,LowerCase,OOV,""""""
9,app,WORD,,LowerCase,OOV,""""""
9,lah,WORD,,LowerCase,OOV,""""""
9,udah,WORD,,LowerCase,ADV,""""""
9,2x,WORD,,"LowerCase, CharDigit",OOV,""""""
9,begini,WORD,,LowerCase,OOV,""""""
10,Haii,WORD,,"TitleCase, CapStart",OOV,""""""
10,kak,WORD,,LowerCase,NOUN,""""""
10,aspriyanti86825,WORD,,"LowerCase, CharDigit",OOV,""""""
10,Maaf,WORD,,"TitleCase, CapStart",OOV,""""""
10,sudah,WORD,,LowerCase,OOV,""""""
10,bikin,WORD,,LowerCase,OOV,""""""
10,tidak,WORD,,LowerCase,OOV,""""""
10,nyaman,WORD,,LowerCase,OOV,""""""
10,terkait,WORD,,LowerCase,OOV,""""""
10,kendala,WORD,,LowerCase,OOV,""""""
10,yang,WORD,,LowerCase,OOV,""""""
10,kamu,WORD,,LowerCase,OOV,""""""
10,alami,WORD,,LowerCase,OOV,""""""
10,.,EPUNC,,,,""""""
10,Agar,WORD,,"TitleCase, CapStart",OOV,""""""
10,aku,WORD,,LowerCase,OOV,""""""
10,bisa,WORD,,LowerCase,OOV,""""""
10,bantu,WORD,,LowerCase,OOV,""""""
10,cek,WORD,,LowerCase,OOV,""""""
10,boleh,WORD,,LowerCase,OOV,""""""
10,infoin,WORD,,LowerCase,OOV,""""""
10,detail,WORD,,LowerCase,OOV,""""""
10,kendala,WORD,,LowerCase,OOV,""""""
10,kamu,WORD,,LowerCase,OOV,""""""
10,ke,WORD,,LowerCase,OOV,""""""
10,DM,WORD,,"UpperCase, CapStart",NOUN,""""""
10,Social,WORD,,"TitleCase, CapStart",OOV,""""""
10,Media,WORD,,"TitleCase, CapStart",OOV,""""""
10,kita,WORD,,LowerCase,OOV,""""""
10,X,WORD,,"TitleCase, CapStart",OOV,""""""
10,/,SPUNC,,,,""""""
10,Twitter,WORD,,"TitleCase, CapStart",OOV,""""""
10,melalui,WORD,,LowerCase,OOV,""""""
10,akun,WORD,,LowerCase,OOV,""""""
10,atau,WORD,,LowerCase,OOV,""""""
10,.,EPUNC,,,,""""""
10,Sehat,WORD,,"TitleCase, CapStart",OOV,""""""
10,selalu,WORD,,LowerCase,OOV,""""""
10,^,PUNC,,,,""""""
10,ON,WORD,,"UpperCase, CapStart",OOV,""""""
11,Nomer,WORD,,"TitleCase, CapStart",OOV,""""""
11,pesanan,WORD,,LowerCase,OOV,""""""
11,26052376HBK6U1,WORD,,"UpperCase, CapStart, CharDigit",OOV,""""""
11,Username,WORD,,"TitleCase, CapStart",OOV,""""""
11,umarsaid592,WORD,,"LowerCase, CharDigit",OOV,""""""
12,minn,WORD,,LowerCase,OOV,""""""
12,cek,WORD,,LowerCase,OOV,""""""
12,dm,WORD,,LowerCase,NOUN,""""""
12,ya,WORD,,LowerCase,OOV,""""""
13,kurir²,WORD,,"LowerCase, CharDigit",OOV,""""""
13,lu,WORD,,LowerCase,OOV,""""""
13,pada,WORD,,LowerCase,OOV,""""""
13,jelek,WORD,,LowerCase,OOV,""""""
13,bgt,WORD,,LowerCase,OOV,""""""
13,",",OPUNC,,,,""""""
13,ga,WORD,,LowerCase,ADV,""""""
13,on,WORD,,LowerCase,OOV,""""""
13,time,WORD,,LowerCase,OOV,""""""
13,.,EPUNC,,,,""""""
14,Hi,WORD,,"TitleCase, CapStart",OOV,""""""
14,kak,WORD,,LowerCase,NOUN,""""""
14,Macchiatolalala,WORD,,"TitleCase, CapStart",OOV,""""""
14,",",OPUNC,,,,""""""
14,maaf,WORD,,LowerCase,OOV,""""""
14,ya,WORD,,LowerCase,OOV,""""""
14,terkait,WORD,,LowerCase,OOV,""""""
14,kendala,WORD,,LowerCase,OOV,""""""
14,yg,WORD,,LowerCase,OOV,""""""
14,kamu,WORD,,LowerCase,OOV,""""""
14,alami,WORD,,LowerCase,OOV,""""""
14,.,EPUNC,,,,""""""
14,Agar,WORD,,"TitleCase, CapStart",OOV,""""""
14,bisa,WORD,,LowerCase,OOV,""""""
14,aku,WORD,,LowerCase,OOV,""""""
14,bantu,WORD,,LowerCase,OOV,""""""
14,pengecekan,WORD,,LowerCase,OOV,""""""
14,kendala,WORD,,LowerCase,OOV,""""""
14,kamu,WORD,,LowerCase,OOV,""""""
14,",",OPUNC,,,,""""""
14,mohon,WORD,,LowerCase,OOV,""""""
14,menghubungi,WORD,,LowerCase,OOV,""""""
14,aku,WORD,,LowerCase,OOV,""""""
14,melalui,WORD,,LowerCase,OOV,""""""
14,DM,WORD,,"UpperCase, CapStart",NOUN,""""""
14,Sosial,WORD,,"TitleCase, CapStart",OOV,""""""
14,media,WORD,,LowerCase,OOV,""""""
14,twitter,WORD,,LowerCase,OOV,""""""
14,Kami,WORD,,"TitleCase, CapStart",OOV,""""""
14,dengan,WORD,,LowerCase,OOV,""""""
14,mengirimkan,WORD,,LowerCase,OOV,""""""
14,Detail,WORD,,"TitleCase, CapStart",OOV,""""""
14,kendala,WORD,,LowerCase,OOV,""""""
14,ya,WORD,,LowerCase,OOV,""""""
14,kak,WORD,,LowerCase,NOUN,""""""
14,.,EPUNC,,,,""""""
14,aku,WORD,,LowerCase,OOV,""""""
14,tunggu,WORD,,LowerCase,OOV,""""""
14,^,PUNC,,,,""""""
14,KY,WORD,,"UpperCase, CapStart",OOV,""""""
15,Hi,WORD,,"TitleCase, CapStart",OOV,""""""
15,Kak,WORD,,"TitleCase, CapStart",NOUN,""""""
15,Macchiatolalala,WORD,,"TitleCase, CapStart",OOV,""""""
15,mohon,WORD,,LowerCase,OOV,""""""
15,maaf,WORD,,LowerCase,OOV,""""""
15,terkait,WORD,,LowerCase,OOV,""""""
15,dengan,WORD,,LowerCase,OOV,""""""
15,kendala,WORD,,LowerCase,OOV,""""""
15,yang,WORD,,LowerCase,OOV,""""""
15,Kakak,WORD,,"TitleCase, CapStart",OOV,""""""
15,alami,WORD,,LowerCase,OOV,""""""
15,untuk,WORD,,LowerCase,OOV,""""""
15,dapat,WORD,,LowerCase,OOV,""""""
15,aku,WORD,,LowerCase,OOV,""""""
15,bantu,WORD,,LowerCase,OOV,""""""
15,cek,WORD,,LowerCase,OOV,""""""
15,boleh,WORD,,LowerCase,OOV,""""""
15,hubungi,WORD,,LowerCase,OOV,""""""
15,aku,WORD,,LowerCase,OOV,""""""
15,di,WORD,,LowerCase,PREP,""""""
15,DM,WORD,,"UpperCase, CapStart",NOUN,""""""
15,X,WORD,,"TitleCase, CapStart",OOV,""""""
15,ya,WORD,,LowerCase,OOV,""""""
15,Kak,WORD,,"TitleCase, CapStart",NOUN,""""""
15,.,EPUNC,,,,""""""
15,Terima,WORD,,"TitleCase, CapStart",OOV,""""""
15,Kasih,WORD,,"TitleCase, CapStart",OOV,""""""
15,^,PUNC,,,,""""""
15,JK,WORD,,"UpperCase, CapStart",OOV,""""""
16,CEK,WORD,,"UpperCase, CapStart",OOV,""""""
16,DM,WORD,,"UpperCase, CapStart",NOUN,""""""
17,min,WORD,OPOS,LowerCase,OOV,""""""
17,cek,WORD,,LowerCase,OOV,""""""
17,dm,WORD,,LowerCase,NOUN,""""""
18,Min,WORD,OPOS,"TitleCase, CapStart",OOV,""""""
18,bales,WORD,,LowerCase,OOV,""""""
18,akuu,WORD,,LowerCase,OOV,""""""
18,🥺,PUNC,,,OOV,""""""
19,ini,WORD,,LowerCase,OOV,""""""
19,spx,WORD,,LowerCase,OOV,""""""
19,kalo,WORD,,LowerCase,OOV,""""""
19,minggu,WORD,,LowerCase,OOV,""""""
19,emang,WORD,,LowerCase,OOV,""""""
19,tutup,WORD,,LowerCase,OOV,""""""
19,yah,WORD,,LowerCase,OOV,""""""
19,mint,WORD,,LowerCase,OOV,""""""
19,💔,PUNC,,,OOV,""""""
20,Tolong,WORD,,"TitleCase, CapStart",OOV,""""""
20,😭,PUNC,,,OOV,""""""
20,aku,WORD,,LowerCase,OOV,""""""
20,salah,WORD,,LowerCase,OOV,""""""
20,top,WORD,,LowerCase,OOV,""""""
20,up,WORD,,LowerCase,OOV,""""""
20,shopee,WORD,,LowerCase,NOUN,""""""
20,ke,WORD,,LowerCase,OOV,""""""
20,nokor,WORD,,LowerCase,OOV,""""""
20,orang,WORD,,LowerCase,OOV,""""""
20,lain,WORD,,LowerCase,OOV,""""""
20,",",OPUNC,,,,""""""
20,nomornya,WORD,,LowerCase,OOV,""""""
20,ditelfon,WORD,,LowerCase,OOV,""""""
20,gak,WORD,,LowerCase,OOV,""""""
20,aktif,WORD,,LowerCase,OOV,""""""
21,Min,WORD,OPOS,"TitleCase, CapStart",OOV,""""""
21,kalau,WORD,,LowerCase,OOV,""""""
21,keterangannya,WORD,,LowerCase,OOV,""""""
21,gini,WORD,,LowerCase,OOV,""""""
21,berarti,WORD,,LowerCase,OOV,""""""
21,bisa,WORD,,LowerCase,OOV,""""""
21,kartu,WORD,,LowerCase,OOV,""""""
21,debit,WORD,,LowerCase,OOV,""""""
21,&,PUNC,,,,""""""
21,amp,WORD,,LowerCase,OOV,""""""
21,;,PUNC,,,,""""""
21,kredit,WORD,,LowerCase,OOV,""""""
21,atau,WORD,,LowerCase,OOV,""""""
21,hanya,WORD,,LowerCase,OOV,""""""
21,bisa,WORD,,LowerCase,OOV,""""""
21,pakai,WORD,,LowerCase,OOV,""""""
21,kartu,WORD,,LowerCase,OOV,""""""
21,kredit,WORD,,LowerCase,OOV,""""""
21,aja,WORD,,LowerCase,OOV,""""""
21,ya,WORD,,LowerCase,OOV,""""""
21,?,EPUNC,,,,""""""
22,Di,WORD,,"TitleCase, CapStart",PREP,""""""
22,tokped,WORD,,LowerCase,OOV,""""""
22,yang,WORD,,LowerCase,OOV,""""""
22,jual,WORD,,LowerCase,OOV,""""""
22,palsu,WORD,,LowerCase,OOV,""""""
22,bahkan,WORD,,LowerCase,OOV,""""""
22,pake,WORD,,LowerCase,VERB,""""""
22,label,WORD,,LowerCase,OOV,""""""
22,mall,WORD,,LowerCase,OOV,""""""
22,.,EPUNC,,,,""""""
22,Makanya,WORD,,"TitleCase, CapStart",OOV,""""""
22,kayaknya,WORD,,LowerCase,OOV,""""""
22,kemarin,WORD,,LowerCase,ADV,""""""
22,sempet,WORD,,LowerCase,OOV,""""""
22,rame,WORD,,LowerCase,OOV,""""""
22,ada,WORD,,LowerCase,VERB,""""""
22,toko,WORD,,LowerCase,OOV,""""""
22,label,WORD,,LowerCase,OOV,""""""
22,mall,WORD,,LowerCase,OOV,""""""
22,(,SPUNC,,,,""""""
22,antara,WORD,,LowerCase,OOV,""""""
22,onitsuka,WORD,,LowerCase,OOV,""""""
22,atau,WORD,,LowerCase,OOV,""""""
22,asics,WORD,,LowerCase,OOV,""""""
22,),SPUNC,,,,""""""
22,dinon,WORD,,LowerCase,OOV,""""""
22,-,SPUNC,,,,""""""
22,aktifkan,WORD,,LowerCase,OOV,""""""
22,karena,WORD,,LowerCase,OOV,""""""
22,rupanya,WORD,,LowerCase,OOV,""""""
22,bukan,WORD,,LowerCase,OOV,""""""
22,official,WORD,,LowerCase,OOV,""""""
23,Hati,WORD,,"TitleCase, CapStart",OOV,""""""
23,hati,WORD,,LowerCase,OOV,""""""
23,belanja,WORD,,LowerCase,OOV,""""""
23,di,WORD,,LowerCase,PREP,""""""
23,sophee,WORD,,LowerCase,OOV,""""""
23,",",OPUNC,,,,""""""
23,beli,WORD,,LowerCase,OOV,""""""
23,kloset,WORD,,LowerCase,OOV,""""""
23,duduk,WORD,,LowerCase,OOV,""""""
23,pakai,WORD,,LowerCase,OOV,""""""
23,packing,WORD,,LowerCase,OOV,""""""
23,kayu,WORD,,LowerCase,OOV,""""""
23,hancur,WORD,,LowerCase,OOV,""""""
23,",",OPUNC,,,,""""""
23,komplain,WORD,,LowerCase,OOV,""""""
23,di,WORD,,LowerCase,PREP,""""""
23,aplikasi,WORD,,LowerCase,OOV,""""""
23,dipersulit,WORD,,LowerCase,OOV,""""""
23,disuruh,WORD,,LowerCase,OOV,""""""
23,antar,WORD,,LowerCase,OOV,""""""
23,barang,WORD,,LowerCase,OOV,""""""
23,hancur,WORD,,LowerCase,OOV,""""""
23,sendiri,WORD,,LowerCase,OOV,""""""
23,ke,WORD,,LowerCase,OOV,""""""
23,kantor,WORD,,LowerCase,OOV,""""""
23,expedisi,WORD,,LowerCase,OOV,""""""
23,nya,WORD,,LowerCase,PRON,""""""
23,JNE,WORD,,"UpperCase, CapStart",OOV,""""""
23,trucking,WORD,,LowerCase,OOV,""""""
23,entah,WORD,,LowerCase,OOV,""""""
23,di,WORD,,LowerCase,PREP,""""""
23,mana,WORD,,LowerCase,PREP,""""""
23,.,EPUNC,,,,""""""
23,Uang,WORD,,"TitleCase, CapStart",OOV,""""""
23,saya,WORD,,LowerCase,OOV,""""""
23,malah,WORD,,LowerCase,OOV,""""""
23,hilang,WORD,,LowerCase,OOV,""""""
23,tidak,WORD,,LowerCase,OOV,""""""
23,jelas,WORD,,LowerCase,OOV,""""""
23,",",OPUNC,,,,""""""
23,waktu,WORD,,LowerCase,OOV,""""""
23,habis,WORD,,LowerCase,OOV,""""""
23,percuma,WORD,,LowerCase,OOV,""""""
23,tiap,WORD,,LowerCase,OOV,""""""
23,hari,WORD,,LowerCase,NOUN,""""""
23,chat,WORD,,LowerCase,VERB,""""""
23,sama,WORD,,LowerCase,OOV,""""""
23,cs,WORD,OPOS,LowerCase,OOV,""""""
23,sophee,WORD,,LowerCase,OOV,""""""
24,Haii,WORD,,"TitleCase, CapStart",OOV,""""""
24,kak,WORD,,LowerCase,NOUN,""""""
24,taebong_,PUNC,,,,""""""
24,",",OPUNC,,,,""""""
24,maaf,WORD,,LowerCase,OOV,""""""
24,ya,WORD,,LowerCase,OOV,""""""
24,udh,WORD,,LowerCase,OOV,""""""
24,bikin,WORD,,LowerCase,OOV,""""""
24,km,WORD,,LowerCase,OOV,""""""
24,kecewa,WORD,,LowerCase,OOV,""""""
24,terkait,WORD,,LowerCase,OOV,""""""
24,kendalamu,WORD,,LowerCase,OOV,""""""
24,.,EPUNC,,,,""""""
24,Biar,WORD,,"TitleCase, CapStart",OOV,""""""
24,bisa,WORD,,LowerCase,OOV,""""""
24,Aku,WORD,,"TitleCase, CapStart",OOV,""""""
24,bantu,WORD,,LowerCase,OOV,""""""
24,cek,WORD,,LowerCase,OOV,""""""
24,kendalanya,WORD,,LowerCase,OOV,""""""
24,infoin,WORD,,LowerCase,OOV,""""""
24,ke,WORD,,LowerCase,OOV,""""""
24,aku,WORD,,LowerCase,OOV,""""""
24,Username,WORD,,"TitleCase, CapStart",OOV,""""""
24,",",OPUNC,,,,""""""
24,SS,WORD,,"UpperCase, CapStart",OOV,""""""
24,kendala,WORD,,LowerCase,OOV,""""""
24,dan,WORD,,LowerCase,OOV,""""""
24,detail,WORD,,LowerCase,OOV,""""""
24,kendala,WORD,,LowerCase,OOV,""""""
24,kakak,WORD,,LowerCase,OOV,""""""
24,boleh,WORD,,LowerCase,OOV,""""""
24,colek,WORD,,LowerCase,OOV,""""""
24,Aku,WORD,,"TitleCase, CapStart",OOV,""""""
24,di,WORD,,LowerCase,PREP,""""""
24,DM,WORD,,"UpperCase, CapStart",NOUN,""""""
24,ya,WORD,,LowerCase,OOV,""""""
24,kak,WORD,,LowerCase,NOUN,""""""
24,.,EPUNC,,,,""""""
24,Ditunggu,WORD,,"TitleCase, CapStart",OOV,""""""
24,^,PUNC,,,,""""""
24,RS,WORD,,"UpperCase, CapStart",OOV,""""""
25,eh,WORD,,LowerCase,OOV,""""""
25,akun,WORD,,LowerCase,OOV,""""""
25,bodong,WORD,,LowerCase,OOV,""""""
25,dilarang,WORD,,LowerCase,OOV,""""""
25,komen,WORD,,LowerCase,OOV,""""""
25,ya,WORD,,LowerCase,OOV,""""""
25,ajg,WORD,,LowerCase,OOV,""""""
25,gua,WORD,,LowerCase,OOV,""""""
25,gak,WORD,,LowerCase,OOV,""""""
25,nanya,WORD,,LowerCase,OOV,""""""
25,lu,WORD,,LowerCase,OOV,""""""
26,YEHHH,WORD,,"UpperCase, CapStart",OOV,""""""
26,PRET,WORD,,"UpperCase, CapStart",OOV,""""""
26,PENIPUAN,WORD,,"UpperCase, CapStart",OOV,""""""
27,Udah,WORD,,"TitleCase, CapStart",ADV,""""""
27,nunggu,WORD,,LowerCase,OOV,""""""
27,lebih,WORD,,LowerCase,OOV,""""""
27,dari,WORD,,LowerCase,PREP,""""""
27,1x24,WORD,,"LowerCase, CharDigit",OOV,""""""
27,jam,WORD,,LowerCase,OOV,""""""
27,sesuai,WORD,,LowerCase,OOV,""""""
27,arahan,WORD,,LowerCase,OOV,""""""
27,CS,WORD,OPOS,"UpperCase, CapStart",OOV,""""""
27,+,PUNC,,,,""""""
27,isi,WORD,,LowerCase,OOV,""""""
27,form,WORD,,LowerCase,OOV,""""""
27,tapi,WORD,,LowerCase,OOV,""""""
27,uang,WORD,,LowerCase,OOV,""""""
27,aku,WORD,,LowerCase,OOV,""""""
27,masih,WORD,,LowerCase,OOV,""""""
27,ketahan,WORD,,LowerCase,OOV,""""""
27,nyangkut,WORD,,LowerCase,OOV,""""""
27,disini,WORD,,LowerCase,OOV,""""""
27,",",OPUNC,,,,""""""
27,bagaimana,WORD,,LowerCase,OOV,""""""
27,solusinya,WORD,,LowerCase,OOV,""""""
27,?,EPUNC,,,,""""""
27,tolong,WORD,,LowerCase,OOV,""""""
27,tindak,WORD,,LowerCase,OOV,""""""
27,lanjutnya,WORD,,LowerCase,OOV,""""""
27,segeraaa,WORD,,LowerCase,OOV,""""""
27,😔,PUNC,,,OOV,""""""
28,Gendeng,WORD,,"TitleCase, CapStart",OOV,""""""
28,iki,WORD,,LowerCase,OOV,""""""
28,shopee,WORD,,LowerCase,NOUN,""""""
28,wong,WORD,,LowerCase,OOV,""""""
28,aku,WORD,,LowerCase,OOV,""""""
28,cuma,WORD,,LowerCase,OOV,""""""
28,jualan,WORD,,LowerCase,OOV,""""""
28,sabun,WORD,,LowerCase,OOV,""""""
28,batang,WORD,,LowerCase,OOV,""""""
28,kok,WORD,,LowerCase,OOV,""""""
28,pemalsuan,WORD,,LowerCase,OOV,""""""
28,pesanan,WORD,,LowerCase,OOV,""""""
28,ki,WORD,,LowerCase,OOV,""""""
28,opoo,WORD,,LowerCase,OOV,""""""
28,stressss,WORD,,LowerCase,OOV,""""""
29,udah,WORD,,LowerCase,ADV,""""""
29,sampe,WORD,,LowerCase,OOV,""""""
29,belum,WORD,,LowerCase,ADV,""""""
29,ka,WORD,,LowerCase,OOV,""""""
30,di,WORD,,LowerCase,PREP,""""""
30,dm,WORD,,LowerCase,NOUN,""""""
30,ya,WORD,,LowerCase,OOV,""""""
30,min,WORD,OPOS,LowerCase,OOV,""""""
30,?,EPUNC,,,,""""""
31,Hai,WORD,,"TitleCase, CapStart",OOV,""""""
31,kak,WORD,,LowerCase,NOUN,""""""
31,shobas_tian,PUNC,,,,""""""
31,",",OPUNC,,,,""""""
31,maaf,WORD,,LowerCase,OOV,""""""
31,ya,WORD,,LowerCase,OOV,""""""
31,buat,WORD,,LowerCase,PREP,""""""
31,nunggu,WORD,,LowerCase,OOV,""""""
31,",",OPUNC,,,,""""""
31,Aku,WORD,,"TitleCase, CapStart",OOV,""""""
31,akan,WORD,,LowerCase,OOV,""""""
31,meluncur,WORD,,LowerCase,OOV,""""""
31,ke,WORD,,LowerCase,OOV,""""""
31,DM,WORD,,"UpperCase, CapStart",NOUN,""""""
31,kamu,WORD,,LowerCase,OOV,""""""
31,yaa,WORD,,LowerCase,OOV,""""""
31,kak,WORD,,LowerCase,NOUN,""""""
31,",",OPUNC,,,,""""""
31,mohon,WORD,,LowerCase,OOV,""""""
31,kesediannya,WORD,,LowerCase,OOV,""""""
31,untuk,WORD,,LowerCase,OOV,""""""
31,menunggu,WORD,,LowerCase,OOV,""""""
31,.,EPUNC,,,,""""""
31,terima,WORD,,LowerCase,OOV,""""""
31,kasih,WORD,,LowerCase,OOV,""""""
31,^,PUNC,,,,""""""
31,KY,WORD,,"UpperCase, CapStart",OOV,""""""
32,Ajukan,WORD,,"TitleCase, CapStart",OOV,""""""
32,pengembalian,WORD,,LowerCase,OOV,""""""
32,sesuai,WORD,,LowerCase,OOV,""""""
